sku,product_name,price,,,,
10085704,Mary Kay® Gel Eyeliner With Expandable Brush Applicator Jet Black,22.00,,,,
10141205,Mary Kay® Waterproof Liquid Eyeliner Pen Intense Black Matte,18.00,,,,
10205917,Limited-Edition† Mary Kay® Waterproof Eyeliner Copper Shimmer,14.00,,,,
10191232,Mary Kay® Great Heights™ Mascara Black,18.00,,,,
10222584,Mary Kay® Ultimate Mascara™ Black,16.00,,,,
10222585,Mary Kay® Ultimate Mascara™ Black Brown,16.00,,,,
10092105,Lash Intensity® Mascara Black,18.00,,,,
10041481,Lash Love® Mascara I ♥ Black,16.00,,,,
10142038,Lash Love Fanorama® Mascara I ♥ Black,16.00,,,,
10222938,Mary Kay® Clear Brow Styling Gel Clear,14.00,,,,
10125032,Mary Kay® Volumizing Brow Tint Blonde,14.00,,,,
10125033,Mary Kay® Volumizing Brow Tint Dark Blonde,14.00,,,,
10125034,Mary Kay® Volumizing Brow Tint Brunette,14.00,,,,
10125035,Mary Kay® Volumizing Brow Tint Dark Brunette,14.00,,,,
10127611,Mary Kay® Precision Brow Liner Blonde,14.00,,,,
10127612,Mary Kay® Precision Brow Liner Dark Blonde,14.00,,,,
10127613,Mary Kay® Precision Brow Liner Brunette,14.00,,,,
10127614,Mary Kay® Precision Brow Liner Dark Brunette,14.00,,,,
10127615,Mary Kay® Precision Brow Liner Black Brown,14.00,,,,
10239163,Mary Kay® Waterproof Lip Liner Pink Nude,14.00,,,,
10239164,Mary Kay® Waterproof Lip Liner Beige Nude,14.00,,,,
10239165,Mary Kay® Waterproof Lip Liner Mauve Nude,14.00,,,,
10239166,Mary Kay® Waterproof Lip Liner Auburn Nude,14.00,,,,
10239167,Mary Kay® Waterproof Lip Liner Truffle Nude,14.00,,,,
10239168,Mary Kay® Waterproof Lip Liner Rose,14.00,,,,
10239169,Mary Kay® Waterproof Lip Liner Hot Pink Matte,14.00,,,,
10239170,Mary Kay® Waterproof Lip Liner Red,14.00,,,,
10239171,Mary Kay® Waterproof Lip Liner Berry,14.00,,,,
10153485,Mary Kay Unlimited® Lip Gloss Berry Delight Pearl,18.00,,,,
10249013,Mary Kay Unlimited® Lip Gloss Nude Blush Cream (replacement product),18.00,,,,
10153484,Mary Kay Unlimited® Lip Gloss Pink Fusion Cream,18.00,,,,
10249019,Mary Kay Unlimited® Lip Gloss Tawny Nude Cream (replacement product),18.00,,,,
10153483,Mary Kay Unlimited® Lip Gloss Unique Mauve Cream,18.00,,,,
10249011,Mary Kay Unlimited® Lip Gloss Fancy Nancy Shimmer,18.00,,,,
10249014,Mary Kay Unlimited® Lip Gloss Pink Ballerina Pearl,18.00,,,,
10249017,Mary Kay Unlimited® Lip Gloss Sheer Illusion Shimmer,18.00,,,,
10249012,Mary Kay Unlimited® Lip Gloss Iconic Red Cream,18.00,,,,
10249006,Mary Kay Unlimited® Lip Gloss Beach Bronze Shimmer,18.00,,,,
10089644,Gel Semi-Matte Lipstick Always Apricot Semi-matte,20.00,,,,
10089640,Gel Semi-Matte Lipstick Bashful You Semi-matte,20.00,,,,
10141478,Gel Semi-Matte Lipstick Berry Famous Semi-matte,20.00,,,,
10157977,Gel Semi-Matte Lipstick Blush Velvet Semi-matte,20.00,,,,
10089647,Gel Semi-Matte Lipstick Crushed Berry Semi-matte,20.00,,,,
10089642,Gel Semi-Matte Lipstick Mauve Moment Semi-matte,20.00,,,,
10089646,Gel Semi-Matte Lipstick Midnight Red Semi-matte,20.00,,,,
10089645,Gel Semi-Matte Lipstick Poppy Please Semi-matte,20.00,,,,
10089643,Gel Semi-Matte Lipstick Powerful Pink Semi-matte,20.00,,,,
10157973,Gel Semi-Matte Lipstick Red Stiletto Semi-matte,20.00,,,,
10183277,Gel Semi-Matte Lipstick Subdued Nude Semi-matte,20.00,,,,
10141480,Gel Semi-Matte Lipstick Trademark Pink Semi-matte,20.00,,,,
10094640,Mary Kay® Gel Semi-Shine Lipstick Apple Berry Shine,20.00,,,,
10094641,Mary Kay® Gel Semi-Shine Lipstick Berry Couture Shine,20.00,,,,
10183278,Mary Kay® Gel Semi-Shine Lipstick Downtown Brown Shine,20.00,,,,
10094636,Mary Kay® Gel Semi-Shine Lipstick Haute Pink Shine,20.00,,,,
10094611,Mary Kay® Gel Semi-Shine Lipstick Love Me Pink Shine,20.00,,,,
10094608,Mary Kay® Gel Semi-Shine Lipstick Naturally Buff Shine,20.00,,,,
10094615,Mary Kay® Gel Semi-Shine Lipstick Raspberry Ice Shine,20.00,,,,
10094614,Mary Kay® Gel Semi-Shine Lipstick Red Smolder Shine,20.00,,,,
10094610,Mary Kay® Gel Semi-Shine Lipstick Rosewood Shine,20.00,,,,
10094638,Mary Kay® Gel Semi-Shine Lipstick Scarlet Red Shine,20.00,,,,
10094634,Mary Kay® Gel Semi-Shine Lipstick Spiced Ginger Shine,20.00,,,,
10094637,Mary Kay® Gel Semi-Shine Lipstick Sunset Peach Shine,20.00,,,,
10094639,Mary Kay® Gel Semi-Shine Lipstick Luminous Lilac Shine,20.00,,,,
10155207,Mary Kay® Supreme Hydrating Lipstick Better Than Bare Shine,20.00,,,,
10206309,Mary Kay® Supreme Hydrating Lipstick Black Cherry Shine,20.00,,,,
10155222,Mary Kay® Supreme Hydrating Lipstick Boho Plum Shine,20.00,,,,
