sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10210483,Mary Kay Multi-Benefit Concealer - Deep 2,18.00,,,2026-04-08,Multi-Benefit Concealer - Deep 2,Multi-Benefit Concealer
10214386,Mary Kay Multi-Benefit Concealer - Deep 3,18.00,,,2026-04-08,Multi-Benefit Concealer - Deep 3,Multi-Benefit Concealer
10211391,Mary Kay Undereye Corrector - Light Peach,18.00,,,2026-04-08,Undereye Corrector - Light Peach,Undereye Corrector
10211392,Mary Kay Undereye Corrector - Deep Peach,18.00,,,2026-04-08,Undereye Corrector - Deep Peach,Undereye Corrector
10072822,Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Very Light,22.00,,,2026-04-08,CC Cream - Very Light,CC Cream
10072823,Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Light-to-Medium,22.00,,,2026-04-08,CC Cream - Light-to-Medium,CC Cream
10072824,Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Medium-to-Deep,22.00,,,2026-04-08,CC Cream - Medium-to-Deep,CC Cream
10072825,Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Deep,22.00,,,2026-04-08,CC Cream - Deep,CC Cream
10086620,Mary Kay CC Cream Sunscreen Broad Spectrum SPF 15 - Very Deep,22.00,,,2026-04-08,CC Cream - Very Deep,CC Cream
10099957,TimeWise Matte 3D Foundation - Ivory C 100,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Ivory C 100,TimeWise Matte 3D Foundation
10099958,TimeWise Matte 3D Foundation - Ivory C 110,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Ivory C 110,TimeWise Matte 3D Foundation
10099961,TimeWise Matte 3D Foundation - Ivory W 130,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Ivory W 130,TimeWise Matte 3D Foundation
10099962,TimeWise Matte 3D Foundation - Ivory N 140,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Ivory N 140,TimeWise Matte 3D Foundation
10099964,TimeWise Matte 3D Foundation - Ivory W 150,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Ivory W 150,TimeWise Matte 3D Foundation
10099963,TimeWise Matte 3D Foundation - Ivory N 160,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Ivory N 160,TimeWise Matte 3D Foundation
10099965,TimeWise Matte 3D Foundation - Beige W 100,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige W 100,TimeWise Matte 3D Foundation
10099966,TimeWise Matte 3D Foundation - Beige C 110,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige C 110,TimeWise Matte 3D Foundation
10099967,TimeWise Matte 3D Foundation - Beige C 120,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige C 120,TimeWise Matte 3D Foundation
10099968,TimeWise Matte 3D Foundation - Beige C 130,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige C 130,TimeWise Matte 3D Foundation
10099969,TimeWise Matte 3D Foundation - Beige C 140,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige C 140,TimeWise Matte 3D Foundation
10099970,TimeWise Matte 3D Foundation - Beige N 150,26.00,,,2026-04-08,TimeWise Matte 3D Foundation - Beige N 150,TimeWise Matte 3D Foundation
